"alpha","boot_id","node","n_mags_b","n_zero","n_positive","n_negative","n_unidentified","any_positive","any_negative","all_zero","all_positive","any_unidentified","min_positive","max_positive"
"0.01",24,"harm_present",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.215719406032013,0.215719406032013
"0.01",24,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",24,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",24,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",24,"trust_science",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",24,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",25,"belief_concern",6,0,6,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.245939477980121,0.245939477980121
"0.01",25,"harm_future",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",25,"harm_present",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",25,"policy_support",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",25,"politics",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",25,"social_norms",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",25,"trust_science",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",25,"weather_risk_prep",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",26,"belief_concern",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",26,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",26,"harm_present",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",26,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",26,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",26,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",26,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",26,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",27,"belief_concern",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.288345524850635,0.288345524850635
"0.01",27,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",27,"harm_present",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",27,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",27,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",27,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",27,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",27,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",28,"belief_concern",7,7,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",28,"harm_future",7,7,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",28,"harm_present",7,4,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",28,"policy_support",7,7,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",28,"politics",7,7,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",28,"social_norms",7,7,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",28,"trust_science",7,7,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",28,"weather_risk_prep",7,3,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",29,"belief_concern",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",29,"harm_future",15,12,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",29,"harm_present",15,4,7,0,4,TRUE,FALSE,FALSE,FALSE,TRUE,0.255313009057334,0.255569947284908
"0.01",29,"policy_support",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",29,"politics",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",29,"social_norms",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",29,"trust_science",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
