"spec","target_label","target_size","ate_climate_behavior"
"confound_1of8_policy_support_social_norms","harm_future+weather_risk_prep",2,0.197176024407589
"confound_1of8_policy_support_social_norms","harm_future+social_norms",2,0.182239885180624
"confound_1of8_policy_support_social_norms","harm_future+trust_science",2,0.162574421438309
"confound_1of8_policy_support_social_norms","harm_future+policy_support",2,0.129295186014128
"confound_1of8_policy_support_social_norms","weather_risk_prep+social_norms",2,0.156441228635951
"confound_1of8_policy_support_social_norms","weather_risk_prep+trust_science",2,0.136775764893636
"confound_1of8_policy_support_social_norms","weather_risk_prep+policy_support",2,0.0930759853800993
"confound_1of8_policy_support_social_norms","social_norms+trust_science",2,0.0633652432558516
"confound_1of8_policy_support_social_norms","social_norms+policy_support",2,0.0633652432558516
"confound_1of8_policy_support_social_norms","trust_science+policy_support",2,0.0436997795135366
"confound_1of8_policy_support_social_norms","belief_concern+harm_present+harm_future",3,0.233640640516928
"confound_1of8_policy_support_social_norms","belief_concern+harm_present+weather_risk_prep",3,0.275076586455624
"confound_1of8_policy_support_social_norms","belief_concern+harm_present+social_norms",3,0.260844677164869
"confound_1of8_policy_support_social_norms","belief_concern+harm_present+trust_science",3,0.241179213422554
"confound_1of8_policy_support_social_norms","belief_concern+harm_present+policy_support",3,0.232141594603954
"confound_1of8_policy_support_social_norms","belief_concern+harm_future+weather_risk_prep",3,0.265725209645161
"confound_1of8_policy_support_social_norms","belief_concern+harm_future+social_norms",3,0.24707602782669
"confound_1of8_policy_support_social_norms","belief_concern+harm_future+trust_science",3,0.227410564084375
"confound_1of8_policy_support_social_norms","belief_concern+harm_future+policy_support",3,0.219871991178749
"confound_1of8_policy_support_social_norms","belief_concern+weather_risk_prep+social_norms",3,0.279452995647046
"confound_1of8_policy_support_social_norms","belief_concern+weather_risk_prep+trust_science",3,0.259787531904731
"confound_1of8_policy_support_social_norms","belief_concern+weather_risk_prep+policy_support",3,0.250749913086132
"confound_1of8_policy_support_social_norms","belief_concern+social_norms+trust_science",3,0.229975332833657
"confound_1of8_policy_support_social_norms","belief_concern+social_norms+policy_support",3,0.229975332833657
"confound_1of8_policy_support_social_norms","belief_concern+trust_science+policy_support",3,0.210309869091342
"confound_1of8_policy_support_social_norms","harm_present+harm_future+weather_risk_prep",3,0.250834969850042
"confound_1of8_policy_support_social_norms","harm_present+harm_future+social_norms",3,0.250330430819721
"confound_1of8_policy_support_social_norms","harm_present+harm_future+trust_science",3,0.230664967077406
"confound_1of8_policy_support_social_norms","harm_present+harm_future+policy_support",3,0.197385731653225
"confound_1of8_policy_support_social_norms","harm_present+weather_risk_prep+social_norms",3,0.303779669016538
"confound_1of8_policy_support_social_norms","harm_present+weather_risk_prep+trust_science",3,0.284114205274223
"confound_1of8_policy_support_social_norms","harm_present+weather_risk_prep+policy_support",3,0.240414425760687
"confound_1of8_policy_support_social_norms","harm_present+social_norms+trust_science",3,0.250330430819721
"confound_1of8_policy_support_social_norms","harm_present+social_norms+policy_support",3,0.250330430819721
"confound_1of8_policy_support_social_norms","harm_present+trust_science+policy_support",3,0.230664967077406
"confound_1of8_policy_support_social_norms","harm_future+weather_risk_prep+social_norms",3,0.250120723574085
"confound_1of8_policy_support_social_norms","harm_future+weather_risk_prep+trust_science",3,0.23045525983177
"confound_1of8_policy_support_social_norms","harm_future+weather_risk_prep+policy_support",3,0.197176024407589
"confound_1of8_policy_support_social_norms","harm_future+social_norms+trust_science",3,0.182239885180624
"confound_1of8_policy_support_social_norms","harm_future+social_norms+policy_support",3,0.182239885180624
